modelo,tipo_modelo,metodo_busqueda,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score,params
Decision Tree Classifier,classification,GridSearchCV,0.5307718823490769,0.011651550986486717,48,0.6039084935971852,0.011443141513127027,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': 7, 'modelo__min_samples_leaf': 5, 'modelo__min_samples_split': 25}"
Decision Tree Classifier,classification,GridSearchCV,0.5307556179293211,0.012584269300540296,49,0.6026842598342987,0.01221856134936575,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': 7, 'modelo__min_samples_leaf': 10, 'modelo__min_samples_split': 25}"
Decision Tree Classifier,classification,GridSearchCV,0.5307250023742537,0.011017670411034648,50,0.6054043160832638,0.011720611387104219,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': 7, 'modelo__min_samples_leaf': 5, 'modelo__min_samples_split': 10}"
Decision Tree Classifier,classification,GridSearchCV,0.5307250023742537,0.011017670411034648,50,0.6054043160832638,0.011720611387104219,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': 7, 'modelo__min_samples_leaf': 5, 'modelo__min_samples_split': 2}"
Decision Tree Classifier,classification,GridSearchCV,0.5301396838243038,0.011459837781717648,52,0.604321974733915,0.011126835953830454,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': 7, 'modelo__min_samples_leaf': 1, 'modelo__min_samples_split': 25}"
Decision Tree Classifier,classification,GridSearchCV,0.5295928124380367,0.010688771988165438,53,0.6063227416120045,0.011287251477713865,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': 7, 'modelo__min_samples_leaf': 1, 'modelo__min_samples_split': 2}"
Decision Tree Classifier,classification,GridSearchCV,0.5294027560520697,0.010872715272088664,54,0.6060398723280114,0.011372580409830699,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': 7, 'modelo__min_samples_leaf': 1, 'modelo__min_samples_split': 10}"
Decision Tree Classifier,classification,GridSearchCV,0.5186150586334322,0.009270261415354511,55,0.6581913676353188,0.005748695453446537,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': 10, 'modelo__min_samples_leaf': 1, 'modelo__min_samples_split': 25}"
Decision Tree Classifier,classification,GridSearchCV,0.5185303105659679,0.006462797410999226,56,0.6705137721803132,0.0061057890682874386,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': 10, 'modelo__min_samples_leaf': 1, 'modelo__min_samples_split': 10}"
Decision Tree Classifier,classification,GridSearchCV,0.5181420092379658,0.005013579539345999,57,0.6755949933394004,0.006273281468471701,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': 10, 'modelo__min_samples_leaf': 1, 'modelo__min_samples_split': 2}"
Decision Tree Classifier,classification,GridSearchCV,0.5176988081227523,0.006572344903851138,58,0.6672667254870356,0.005635497518847893,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': 10, 'modelo__min_samples_leaf': 5, 'modelo__min_samples_split': 2}"
Decision Tree Classifier,classification,GridSearchCV,0.5176988081227523,0.006572344903851138,58,0.6672667254870356,0.005635497518847893,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': 10, 'modelo__min_samples_leaf': 5, 'modelo__min_samples_split': 10}"
Decision Tree Classifier,classification,GridSearchCV,0.5170140220298747,0.010461550953129313,60,0.6568374703507069,0.005744316975358518,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': 10, 'modelo__min_samples_leaf': 5, 'modelo__min_samples_split': 25}"
Decision Tree Classifier,classification,GridSearchCV,0.5136608973105297,0.007331260298848566,61,0.6623266723506189,0.0029107305931431178,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': 10, 'modelo__min_samples_leaf': 10, 'modelo__min_samples_split': 10}"
Decision Tree Classifier,classification,GridSearchCV,0.5136608973105297,0.007331260298848566,61,0.6623266723506189,0.0029107305931431178,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': 10, 'modelo__min_samples_leaf': 10, 'modelo__min_samples_split': 2}"
Decision Tree Classifier,classification,GridSearchCV,0.5116096357887165,0.009624001023472472,63,0.659319307191142,0.003213326955309645,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': 10, 'modelo__min_samples_leaf': 10, 'modelo__min_samples_split': 25}"
Decision Tree Classifier,classification,GridSearchCV,0.5072310939024459,0.018155042547306852,64,0.6681805589053862,0.004960325484371578,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': 10, 'modelo__min_samples_leaf': 10, 'modelo__min_samples_split': 25}"
Decision Tree Classifier,classification,GridSearchCV,0.5070540281795949,0.01696791875723423,65,0.6722899472785283,0.005031544297522359,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': 10, 'modelo__min_samples_leaf': 10, 'modelo__min_samples_split': 10}"
Decision Tree Classifier,classification,GridSearchCV,0.5070540281795949,0.01696791875723423,65,0.6722899472785283,0.005031544297522359,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': 10, 'modelo__min_samples_leaf': 10, 'modelo__min_samples_split': 2}"
